Program,MemoryMiB,InputMiB,NumThreads,Runtime,ReadIO,WriteIO,TotalIO
IntroSort,256,2048,1,442,13347.3,9105.92,22453.2
IntroSort,256,2048,8,532,12409.1,9719.62,22128.7
IntroSort,256,2048,8,647,12532.3,9478.3,22010.6
IntroSort,256,2048,1,1169,15604.5,9324.45,24929
IntroSort,256,2048,8,571,12180.1,9773.26,21953.4
IntroSort,256,2048,1,1040,12555.4,9704.57,22259.9
MergeSort,256,4096,1,4349,33766.9,13622.6,47389.5
MergeSort,256,4096,8,1681,40383.2,46756,87139.2
MergeSort,256,4096,8,3039,50185.9,57657.2,107843
MergeSort,256,4096,1,6333,35724.3,15235.8,50960.1
MergeSort,256,4096,8,2820,48982.6,57627.9,106610
MergeSort,256,4096,1,6497,35340.9,15181.7,50522.5
FunnelSort,256,4096,1,1579,18746.7,8768.39,27515.1
FunnelSort,256,4096,8,1096,21782,9485.62,31267.6
FunnelSort,256,4096,8,1275,21788.2,9926.26,31714.4
FunnelSort,256,4096,1,2368,19684.3,9245.73,28930.1
FunnelSort,256,4096,8,1222,21677,9835.27,31512.3
FunnelSort,256,4096,1,2347,19691.4,9193.6,28885
IntroSort,256,4096,1,1019,32283.8,20900.1,53183.9
IntroSort,256,4096,8,1354,30901.2,21871.2,52772.3
IntroSort,256,4096,8,1604,30294.5,21449.3,51743.8
IntroSort,256,4096,1,2575,31141.7,21075.4,52217.1
IntroSort,256,4096,8,1436,29981.8,21833.5,51815.3
IntroSort,256,4096,1,2646,32666.5,20452.5,53119
MergeSort,256,8192,1,12434,112814,34385.3,147199
MergeSort,256,8192,8,3878,89946.2,105455,195401

MergeSort,256,8192,1,11297,113567,34386.3,147954
MergeSort,256,8192,8,2843,90013.6,105651,195665
MergeSort,256,8192,8,7407,113697,139114,252811
MergeSort,256,8192,1,18205,129318,34392.7,163710
MergeSort,256,8192,8,7312,112999,139159,252159
MergeSort,256,8192,1,17743,124065,34394.1,158460
FunnelSort,256,8192,1,2295,40441.5,17693.5,58135
FunnelSort,256,8192,8,2170,44908.6,19323.4,64232
FunnelSort,256,8192,8,2481,45124.6,20427.1,65551.6
FunnelSort,256,8192,1,4616,43077.2,19015.3,62092.6
FunnelSort,256,8192,8,2496,44912.8,20373.2,65286
FunnelSort,256,8192,1,4624,43723.9,19090.4,62814.4
