Memory given per instance is 16 MiB
MM_INPLACE,nullbytes1,512,1,1,300.177,6.21363,1.04858,7.26221
MM_INPLACE,nullbytes1,512,4,0,111.265,5.9433,1.04858,6.99187
MM_INPLACE,nullbytes2,512,4,1,109.624,4.4032,1.04858,5.45178
MM_INPLACE,nullbytes1,512,1,1,255.94,4.88243,1.04858,5.93101
MM_INPLACE,nullbytes1,512,4,0,121.484,4.7145,1.04858,5.76307
MM_INPLACE,nullbytes2,512,1,0,260.66,4.57114,1.04858,5.61971
MM_INPLACE,nullbytes2,512,4,0,112.684,4.48512,1.04858,5.5337
MM_INPLACE,nullbytes1,512,1,1,259.293,4.80051,1.04858,5.84909
MM_INPLACE,nullbytes1,512,4,0,118.263,4.27213,1.04858,5.3207
MM_INPLACE,nullbytes2,512,1,0,328.679,5.20192,2.06848,7.2704
MM_SCAN,nullbytes1,512,1,0,267.937,7.25402,1.31072,8.56474
MM_SCAN,nullbytes1,512,4,1,132.76,7.25402,1.31072,8.56474
MM_SCAN,nullbytes2,512,4,0,107.481,6.1481,1.31072,7.45882
MM_SCAN,nullbytes1,512,1,0,385.413,6.50854,3.29728,9.80582
MM_SCAN,nullbytes1,512,4,0,113.821,6.13581,1.31072,7.44653
MM_SCAN,nullbytes2,512,1,1,367.481,6.52083,2.94502,9.46586
MM_SCAN,nullbytes2,512,4,0,387.403,7.96262,2.91635,10.879
MM_SCAN,nullbytes1,512,1,1,819.159,7.15981,3.41606,10.5759
MM_SCAN,nullbytes1,512,4,0,217.994,6.1481,3.04742,9.19552
MM_SCAN,nullbytes2,512,1,0,552.654,7.71686,4.55885,12.2757
MM_BLOCK,nullbytes1,512,1,0,249.034,5.92282,1.04858,6.97139
MM_BLOCK,nullbytes1,512,4,0,112.453,5.92282,1.04858,6.97139
MM_BLOCK,nullbytes2,512,4,0,114.667,4.84147,1.04858,5.89005
MM_BLOCK,nullbytes1,512,1,1,269.736,4.62029,1.67936,6.29965
MM_BLOCK,nullbytes1,512,4,0,104.438,4.5015,1.04858,5.55008
MM_BLOCK,nullbytes2,512,1,0,308.801,4.90701,1.57286,6.47987
MM_BLOCK,nullbytes2,512,4,0,113.511,4.55885,1.10182,5.66067
MM_BLOCK,nullbytes1,512,1,1,271.014,5.50912,2.19546,7.70458
MM_BLOCK,nullbytes1,512,4,0,106.345,4.42368,1.21242,5.6361
